Ticker,Forecast_Horizon_Days,Predicted_Close_Price,Confidence_%
KANSAINER,30,496.18,63.59
KANSAINER,180,479.01,27.51
KANSAINER,365,485.05,45.4
KAYNES,30,4588.7,59.34
KAYNES,180,4509.84,47.51
KAYNES,365,4685.74,44.6
KEC,30,460.6,0.0
KEC,180,453.9,0.0
KEC,365,444.97,0.0
KEI,30,1669.64,41.8
KEI,180,1663.92,30.49
KEI,365,1695.73,31.5
KFINTECH,30,674.7,0.0
KFINTECH,180,650.98,0.0
KFINTECH,365,615.91,0.0
KIMS,30,1417.67,5.98
KIMS,180,1395.95,37.49
KIMS,365,1388.39,23.8
KIRLOSBROS,30,728.93,68.83
KIRLOSBROS,180,759.57,75.32
KIRLOSBROS,365,789.9,74.77
KIRLOSENG,30,618.53,65.73
KIRLOSENG,180,620.9,68.11
KIRLOSENG,365,636.07,69.34
KNRCON,30,253.56,8.23
KNRCON,180,253.65,0.0
KNRCON,365,255.28,0.0
KOTAKBANK,30,1521.33,31.08
KOTAKBANK,180,1513.66,52.95
KOTAKBANK,365,1531.89,22.47
KPIL,30,558.89,0.0
KPIL,180,548.19,0.0
KPIL,365,540.73,0.0
KPITTECH,30,1200.71,65.4
KPITTECH,180,1295.76,58.71
KPITTECH,365,1493.98,70.54
KPRMILL,30,685.71,27.89
KPRMILL,180,694.43,0.0
KPRMILL,365,695.91,0.0
KSB,30,1232.65,25.88
KSB,180,1244.43,21.14
KSB,365,1176.78,48.8
LALPATHLAB,30,2937.61,58.76
LALPATHLAB,180,2944.85,55.15
LALPATHLAB,365,3180.33,62.72
LATENTVIEW,30,393.43,47.33
LATENTVIEW,180,392.81,26.95
LATENTVIEW,365,393.47,14.71
LAURUSLABS,30,562.09,54.95
LAURUSLABS,180,568.17,53.16
LAURUSLABS,365,560.46,44.03
LEMONTREE,30,104.64,46.34
LEMONTREE,180,108.45,53.89
LEMONTREE,365,106.17,56.43
LICHSGFIN,30,570.3,63.84
LICHSGFIN,180,560.08,55.67
LICHSGFIN,365,551.91,59.59
LICI,30,814.3,12.49
LICI,180,806.57,0.0
LICI,365,779.23,0.0
LINDEINDIA,30,4197.29,58.79
LINDEINDIA,180,4287.65,53.55
LINDEINDIA,365,4139.86,45.24
LLOYDSME,30,1123.54,68.68
LLOYDSME,180,1238.38,65.42
LLOYDSME,365,1426.82,65.31
LODHA,30,1019.99,32.86
LODHA,180,1021.26,17.38
LODHA,365,1015.27,45.44
LT,30,2598.73,43.5
