Date,Sales,Ticker
2021-02-04,5379.09,IPCALAB
2021-03-31,5379.09,IPCALAB
2021-05-28,5419.99,IPCALAB
2021-08-04,5394.94,IPCALAB
2021-08-05,5451.38,IPCALAB
2021-11-13,5634.71,IPCALAB
2022-02-14,5655.35,IPCALAB
2022-03-31,5655.35,IPCALAB
2022-05-24,5829.79,IPCALAB
2022-07-18,5796.74,IPCALAB
2022-08-10,5849.74,IPCALAB
2022-11-11,5906.26,IPCALAB
2023-02-14,6021.79,IPCALAB
2023-03-31,6021.79,IPCALAB
2023-05-29,6244.32,IPCALAB
2023-07-10,6204.26,IPCALAB
2023-08-10,6243.79,IPCALAB
2023-11-10,6676.8,IPCALAB
2024-02-14,7183.65,IPCALAB
2024-03-31,7183.65,IPCALAB
2024-05-29,7705.05,IPCALAB
2024-07-19,7662.43,IPCALAB
2024-08-13,8212.47,IPCALAB
2024-11-14,8533.41,IPCALAB
2025-02-13,8725.93,IPCALAB
2008-03-31,305.72,IRB
2008-06-30,305.72,IRB
2008-09-10,732.71,IRB
2008-09-30,732.71,IRB
2008-12-31,732.71,IRB
2009-03-31,991.88,IRB
2009-06-30,1175.95,IRB
2009-08-25,1175.95,IRB
2009-09-30,1330.24,IRB
2009-12-31,1524.21,IRB
2010-03-31,1704.85,IRB
2010-06-30,1802.75,IRB
2010-09-16,1802.75,IRB
2010-09-30,1937.16,IRB
2010-12-31,2172.89,IRB
2011-03-31,2438.12,IRB
2011-07-20,2727.42,IRB
2011-08-06,2727.42,IRB
2011-11-10,2973.23,IRB
2012-01-25,3050.31,IRB
2012-03-31,3050.31,IRB
2012-05-09,3134.2,IRB
2012-07-27,3312.65,IRB
2012-08-10,3312.65,IRB
2012-10-30,3421.86,IRB
2013-02-06,3589.83,IRB
2013-03-31,3589.83,IRB
2013-05-15,3687.24,IRB
2013-07-09,3687.24,IRB
2013-08-08,3740.12,IRB
2013-11-14,3833.92,IRB
2014-01-31,3797.29,IRB
2014-03-31,3731.89,IRB
2014-06-30,3709.26,IRB
2014-08-21,3709.26,IRB
2014-09-30,3653.3,IRB
2014-12-31,3739.9,IRB
2015-03-31,3848.47,IRB
2015-06-30,3947.32,IRB
2015-09-18,3947.32,IRB
2015-09-30,4213.32,IRB
2015-12-31,4582.81,IRB
2016-03-31,5165.24,IRB
2016-06-30,5573.69,IRB
2016-08-31,5573.69,IRB
2016-09-30,5715.11,IRB
2016-12-31,5792.68,IRB
2017-03-31,5792.68,IRB
2017-05-30,5845.93,IRB
2017-06-30,6145.48,IRB
2017-08-01,6145.48,IRB
2017-11-08,6053.69,IRB
2017-12-31,5938.99,IRB
2018-03-31,5694.11,IRB
2018-07-25,5415.18,IRB
2018-09-15,5415.18,IRB
2018-10-30,5648.64,IRB
2019-02-04,6140.96,IRB
2019-03-31,6140.96,IRB
2019-05-28,6707.02,IRB
