Date,OPM,Ticker
2022-12-31,7.09,TATASTEEL
2023-03-31,11.47,TATASTEEL
2023-06-30,8.24,TATASTEEL
2023-09-30,7.66,TATASTEEL
2023-12-31,11.32,TATASTEEL
2024-03-31,11.25,TATASTEEL
2024-06-30,12.22,TATASTEEL
2024-09-30,11.35,TATASTEEL
2024-12-31,11.0,TATASTEEL
2022-09-30,19.73,TATATECH
2022-12-31,18.31,TATATECH
2023-03-31,17.3,TATATECH
2023-06-30,19.92,TATATECH
2023-09-30,16.88,TATATECH
2023-12-31,18.35,TATATECH
2024-03-31,18.44,TATATECH
2024-06-30,18.21,TATATECH
2024-09-30,18.17,TATATECH
2024-12-31,17.76,TATATECH
2023-03-31,12.79,TBOTEK
2023-06-30,19.42,TBOTEK
2023-09-30,19.79,TBOTEK
2023-12-31,17.16,TBOTEK
2024-03-31,17.77,TBOTEK
2024-06-30,18.8,TBOTEK
2024-09-30,16.72,TBOTEK
2024-12-31,13.1,TBOTEK
2005-03-31,22.96,TCS
2005-06-30,29.39,TCS
2005-09-30,29.75,TCS
2005-12-31,29.32,TCS
2006-03-31,26.67,TCS
2006-06-30,24.82,TCS
2006-09-30,27.91,TCS
2006-12-31,28.5,TCS
2007-03-31,28.36,TCS
2007-06-30,28.04,TCS
2007-09-30,25.02,TCS
2007-12-31,25.73,TCS
2008-03-31,25.72,TCS
2008-06-30,24.32,TCS
2008-09-30,26.17,TCS
2008-12-31,26.71,TCS
2009-03-31,25.75,TCS
2009-06-30,27.26,TCS
2009-09-30,28.49,TCS
2009-12-31,29.71,TCS
2010-03-31,30.22,TCS
2010-06-30,29.32,TCS
2010-09-30,29.9,TCS
2010-12-31,30.01,TCS
2011-03-31,30.45,TCS
2011-06-30,28.09,TCS
2011-09-30,29.09,TCS
2011-12-31,31.0,TCS
2012-03-31,29.6,TCS
2012-06-30,29.08,TCS
2012-09-30,28.41,TCS
2012-12-31,29.0,TCS
2013-03-31,28.1,TCS
2013-06-30,28.6,TCS
2013-09-30,31.62,TCS
2013-12-31,31.4,TCS
2014-03-31,31.04,TCS
2014-06-30,28.73,TCS
2014-09-30,28.55,TCS
2014-12-31,28.77,TCS
2015-03-31,17.67,TCS
2015-06-30,28.05,TCS
2015-09-30,28.79,TCS
2015-12-31,28.31,TCS
2016-03-31,27.79,TCS
2016-06-30,26.74,TCS
2016-09-30,27.7,TCS
2016-12-31,27.67,TCS
2017-03-31,27.43,TCS
2017-06-30,25.06,TCS
2017-09-30,26.73,TCS
2017-12-31,26.82,TCS
2018-03-31,26.97,TCS
2018-06-30,26.48,TCS
2018-09-30,27.89,TCS
2018-12-31,27.0,TCS
2019-03-31,26.5,TCS
2019-06-30,26.29,TCS
2019-09-30,26.23,TCS
2019-12-31,27.28,TCS
2020-03-31,27.48,TCS
2020-06-30,26.16,TCS
2020-09-30,28.69,TCS
2020-12-31,29.06,TCS
2021-03-31,29.29,TCS
2021-06-30,27.89,TCS
2021-09-30,27.99,TCS
2021-12-31,27.48,TCS
2022-03-31,27.37,TCS
2022-06-30,25.43,TCS
2022-09-30,26.25,TCS
2022-12-31,26.71,TCS
2023-03-31,26.66,TCS
2023-06-30,25.26,TCS
2023-09-30,26.38,TCS
2023-12-31,27.05,TCS
2024-03-31,28.03,TCS
2024-06-30,26.61,TCS
2024-09-30,26.04,TCS
2024-12-31,26.63,TCS
2005-03-31,20.45,TECHM
2005-06-30,19.3,TECHM
2005-09-30,16.17,TECHM
2005-12-31,25.86,TECHM
2006-03-31,23.27,TECHM
2006-06-30,22.26,TECHM
2006-09-30,20.11,TECHM
2006-12-31,26.51,TECHM
