Date,EBITDA,Ticker
2008-12-31,2307.65,TATAPOWER
2009-03-31,3856.63,TATAPOWER
2009-06-30,4374.38,TATAPOWER
2009-07-16,4374.38,TATAPOWER
2009-09-30,4412.76,TATAPOWER
2009-12-31,3923.38,TATAPOWER
2010-03-31,4470.51,TATAPOWER
2010-06-30,4245.68,TATAPOWER
2010-08-11,4245.68,TATAPOWER
2010-09-30,4652.04,TATAPOWER
2010-12-31,5198.62,TATAPOWER
2011-03-31,4963.19,TATAPOWER
2011-07-29,4984.81,TATAPOWER
2011-08-10,5507.11,TATAPOWER
2011-11-14,4808.87,TATAPOWER
2012-02-10,5143.46,TATAPOWER
2012-03-31,5143.46,TATAPOWER
2012-05-22,5168.96,TATAPOWER
2012-07-26,5127.74,TATAPOWER
2012-08-08,5052.29,TATAPOWER
2012-11-06,5875.9,TATAPOWER
2013-02-11,6275.74,TATAPOWER
2013-03-31,6275.74,TATAPOWER
2013-05-30,6819.63,TATAPOWER
2013-07-24,5906.71,TATAPOWER
2013-08-06,7182.74,TATAPOWER
2013-11-14,7341.73,TATAPOWER
2014-02-07,7166.87,TATAPOWER
2014-03-31,7144.59,TATAPOWER
2014-06-30,7028.84,TATAPOWER
2014-07-18,7028.84,TATAPOWER
2014-09-30,6948.21,TATAPOWER
2014-12-31,7282.62,TATAPOWER
2015-03-31,7357.22,TATAPOWER
2015-06-30,7382.11,TATAPOWER
2015-07-13,7382.11,TATAPOWER
