Date,NPM,Ticker
2022-06-30,-12.31,BEML
2022-09-30,2.02,BEML
2022-12-31,6.39,BEML
2023-03-31,11.36,BEML
2023-06-30,-13.0,BEML
2023-09-30,5.65,BEML
2023-12-31,4.6,BEML
2024-03-31,16.97,BEML
2024-06-30,-11.11,BEML
2024-09-30,5.93,BEML
2024-12-31,2.79,BEML
2005-03-31,8.31,BERGEPAINT
2005-06-30,7.12,BERGEPAINT
2005-09-30,8.16,BERGEPAINT
2005-12-31,7.6,BERGEPAINT
2006-03-31,5.74,BERGEPAINT
2006-06-30,6.68,BERGEPAINT
2006-09-30,7.37,BERGEPAINT
2006-12-31,7.42,BERGEPAINT
2007-03-31,6.82,BERGEPAINT
2007-06-30,6.56,BERGEPAINT
2007-09-30,7.18,BERGEPAINT
2007-12-31,6.57,BERGEPAINT
2008-03-31,7.16,BERGEPAINT
2008-06-30,6.13,BERGEPAINT
2008-09-30,6.88,BERGEPAINT
2008-12-31,4.16,BERGEPAINT
2009-03-31,6.1,BERGEPAINT
2009-06-30,7.62,BERGEPAINT
2009-09-30,7.67,BERGEPAINT
2009-12-31,6.79,BERGEPAINT
2010-03-31,5.58,BERGEPAINT
2010-06-30,5.99,BERGEPAINT
2010-09-30,6.85,BERGEPAINT
2010-12-31,7.07,BERGEPAINT
2011-03-31,5.72,BERGEPAINT
2011-06-30,5.35,BERGEPAINT
2011-09-30,6.84,BERGEPAINT
2011-12-31,6.27,BERGEPAINT
2012-03-31,5.97,BERGEPAINT
2012-06-30,5.51,BERGEPAINT
2012-09-30,6.59,BERGEPAINT
2012-12-31,8.35,BERGEPAINT
2013-03-31,5.42,BERGEPAINT
2013-06-30,5.41,BERGEPAINT
2013-09-30,6.49,BERGEPAINT
2013-12-31,7.99,BERGEPAINT
2014-03-31,5.73,BERGEPAINT
2014-06-30,5.42,BERGEPAINT
2014-09-30,6.07,BERGEPAINT
2014-12-31,7.35,BERGEPAINT
2015-03-31,5.58,BERGEPAINT
2015-06-30,7.69,BERGEPAINT
2015-09-30,8.37,BERGEPAINT
2015-12-31,9.98,BERGEPAINT
2016-03-31,8.95,BERGEPAINT
2016-06-30,10.75,BERGEPAINT
2016-09-30,9.59,BERGEPAINT
2016-12-31,9.29,BERGEPAINT
2017-03-31,9.48,BERGEPAINT
2017-06-30,9.05,BERGEPAINT
2017-09-30,8.69,BERGEPAINT
2017-12-31,9.74,BERGEPAINT
2018-03-31,8.18,BERGEPAINT
2018-06-30,9.03,BERGEPAINT
2018-09-30,7.82,BERGEPAINT
2018-12-31,8.24,BERGEPAINT
2019-03-31,7.5,BERGEPAINT
2019-06-30,10.28,BERGEPAINT
2019-09-30,12.18,BERGEPAINT
2019-12-31,10.72,BERGEPAINT
2020-03-31,7.62,BERGEPAINT
2020-06-30,1.62,BERGEPAINT
2020-09-30,12.69,BERGEPAINT
2020-12-31,12.98,BERGEPAINT
2021-03-31,10.3,BERGEPAINT
2021-06-30,7.81,BERGEPAINT
2021-09-30,9.85,BERGEPAINT
2021-12-31,9.92,BERGEPAINT
2022-03-31,10.07,BERGEPAINT
2022-06-30,9.19,BERGEPAINT
2022-09-30,8.22,BERGEPAINT
2022-12-31,7.47,BERGEPAINT
2023-03-31,7.61,BERGEPAINT
2023-06-30,11.72,BERGEPAINT
2023-09-30,10.56,BERGEPAINT
2023-12-31,10.42,BERGEPAINT
2024-03-31,8.83,BERGEPAINT
2024-06-30,11.45,BERGEPAINT
2024-09-30,9.73,BERGEPAINT
2024-12-31,9.95,BERGEPAINT
2005-03-31,13.39,BHARATFORG
2005-06-30,13.45,BHARATFORG
2005-09-30,13.75,BHARATFORG
2005-12-31,6.66,BHARATFORG
2006-06-30,7.45,BHARATFORG
2006-09-30,7.65,BHARATFORG
2006-12-31,7.56,BHARATFORG
2007-03-31,7.21,BHARATFORG
2007-06-30,7.58,BHARATFORG
2007-09-30,6.88,BHARATFORG
2007-12-31,6.71,BHARATFORG
2008-03-31,5.53,BHARATFORG
2008-06-30,3.12,BHARATFORG
2008-09-30,8.47,BHARATFORG
2008-12-31,1.04,BHARATFORG
2009-03-31,3.33,BHARATFORG
2018-06-30,9.89,BHARATFORG
2018-09-30,9.73,BHARATFORG
2018-12-31,8.81,BHARATFORG
2019-03-31,12.13,BHARATFORG
2019-06-30,7.39,BHARATFORG
2019-09-30,9.53,BHARATFORG
2019-12-31,2.33,BHARATFORG
2020-03-31,-1.63,BHARATFORG
2020-06-30,-11.03,BHARATFORG
2020-09-30,-0.12,BHARATFORG
2020-12-31,3.16,BHARATFORG
2021-03-31,10.21,BHARATFORG
2021-06-30,9.33,BHARATFORG
2021-09-30,11.34,BHARATFORG
2021-12-31,12.0,BHARATFORG
2022-03-31,6.74,BHARATFORG
2022-06-30,5.69,BHARATFORG
2022-09-30,4.64,BHARATFORG
2022-12-31,2.35,BHARATFORG
2023-03-31,4.02,BHARATFORG
2023-06-30,5.51,BHARATFORG
2023-09-30,5.73,BHARATFORG
2023-12-31,6.58,BHARATFORG
2024-03-31,5.59,BHARATFORG
2024-06-30,6.39,BHARATFORG
2024-09-30,6.6,BHARATFORG
2024-12-31,6.12,BHARATFORG
2005-03-31,15.76,BHARTIARTL
2005-06-30,18.99,BHARTIARTL
2005-09-30,18.85,BHARTIARTL
2005-12-31,18.18,BHARTIARTL
2006-03-31,15.1,BHARTIARTL
2006-06-30,22.08,BHARTIARTL
2006-09-30,20.43,BHARTIARTL
2006-12-31,21.27,BHARTIARTL
2007-03-31,24.96,BHARTIARTL
2007-06-30,24.57,BHARTIARTL
2007-09-30,26.29,BHARTIARTL
2007-12-31,20.85,BHARTIARTL
2008-03-31,24.67,BHARTIARTL
2008-06-30,25.98,BHARTIARTL
2008-09-30,19.21,BHARTIARTL
2008-12-31,20.93,BHARTIARTL
2009-03-31,20.44,BHARTIARTL
2009-06-30,25.84,BHARTIARTL
2009-09-30,22.26,BHARTIARTL
2009-12-31,22.12,BHARTIARTL
2010-03-31,20.19,BHARTIARTL
2010-06-30,14.4,BHARTIARTL
2010-09-30,10.89,BHARTIARTL
2010-12-31,7.69,BHARTIARTL
2011-03-31,8.16,BHARTIARTL
2011-06-30,7.1,BHARTIARTL
2011-09-30,5.92,BHARTIARTL
2011-12-31,5.52,BHARTIARTL
2012-03-31,5.38,BHARTIARTL
2012-06-30,4.17,BHARTIARTL
2012-09-30,3.61,BHARTIARTL
2012-12-31,1.47,BHARTIARTL
2013-03-31,2.58,BHARTIARTL
2013-06-30,3.76,BHARTIARTL
2013-09-30,2.46,BHARTIARTL
2013-12-31,2.75,BHARTIARTL
2014-03-31,4.88,BHARTIARTL
2014-06-30,5.4,BHARTIARTL
2014-09-30,6.22,BHARTIARTL
2014-12-31,7.11,BHARTIARTL
2015-03-31,5.91,BHARTIARTL
2015-06-30,5.84,BHARTIARTL
2015-09-30,5.47,BHARTIARTL
2015-12-31,5.8,BHARTIARTL
2016-03-31,6.83,BHARTIARTL
2016-06-30,6.49,BHARTIARTL
2016-09-30,6.57,BHARTIARTL
2016-12-31,3.19,BHARTIARTL
2017-03-31,0.33,BHARTIARTL
2017-06-30,2.89,BHARTIARTL
2017-09-30,3.12,BHARTIARTL
2017-12-31,3.46,BHARTIARTL
2018-03-31,3.0,BHARTIARTL
2018-06-30,2.22,BHARTIARTL
2018-09-30,1.82,BHARTIARTL
2018-12-31,-2.46,BHARTIARTL
2019-03-31,-5.55,BHARTIARTL
2019-06-30,-6.28,BHARTIARTL
2019-09-30,35.31,BHARTIARTL
2019-12-31,1.48,BHARTIARTL
2020-03-31,6.98,BHARTIARTL
2020-06-30,-30.34,BHARTIARTL
2020-09-30,-0.33,BHARTIARTL
2020-12-31,6.05,BHARTIARTL
2021-03-31,4.7,BHARTIARTL
2021-06-30,3.45,BHARTIARTL
2021-09-30,5.37,BHARTIARTL
2021-12-31,5.44,BHARTIARTL
2022-03-31,9.67,BHARTIARTL
2022-06-30,7.53,BHARTIARTL
2022-09-30,8.63,BHARTIARTL
2022-12-31,8.63,BHARTIARTL
2023-03-31,11.74,BHARTIARTL
2023-06-30,10.69,BHARTIARTL
2023-09-30,7.9,BHARTIARTL
2023-12-31,7.83,BHARTIARTL
2024-03-31,10.36,BHARTIARTL
2024-06-30,10.76,BHARTIARTL
2024-09-30,11.46,BHARTIARTL
